,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,characteristic
277,831322785565769729,2017-02-14,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly,12,10,Pete,doggo
286,829449946868879360,2017-02-08,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10,11,10,,doggo
287,829374341691346946,2017-02-08,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere,13,10,Astrid,doggo
295,828381636999917570,2017-02-05,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly,14,10,Doobert,doggo
306,826958653328592898,2017-02-02,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10,12,10,Loki,doggo
307,826848821049180160,2017-02-01,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af,13,10,Cupid,doggo
309,826476773533745153,2017-01-31,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10,12,10,Pilot,doggo
311,826204788643753985,2017-01-30,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
https://t.co/1httNYrCeW",13,10,,doggo
335,821765923262631936,2017-01-18,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af,13,10,Duchess,doggo
337,821407182352777218,2017-01-17,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance),14,10,Sundance,doggo
339,821107785811234820,2017-01-16,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey,11,10,,doggo
346,819924195358416896,2017-01-13,Here we have a doggo who has messed up. He was hoping you wouldn't notice. 11/10 someone help him,11,10,,doggo
352,819006400881917954,2017-01-11,This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet,14,10,Sunny,doggo
353,819004803107983360,2017-01-11,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet,14,10,Bo,doggo
361,817777686764523521,2017-01-07,"This is Dido. She's playing the lead role in ""Pupper Stops to Catch Snow Before Resuming Shadow Box with Dried Apple."" 13/10 (IG: didodoggo)",13,10,Dido,doggo
382,813910438903693312,2016-12-28,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist,11,10,Chubbs,doggo
386,813202720496779264,2016-12-26,Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10,11,10,,doggo
391,813127251579564032,2016-12-25,Here's an anonymous doggo that appears to be very done with Christmas. 11/10 cheer up pup,11,10,,doggo
393,813096984823349248,2016-12-25,This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him,11,10,Rocky,doggo
419,808106460588765185,2016-12-12,Here we have Burke (pupper) and Dexter (doggo). Pupper wants to be exactly like doggo. Both 12/10 would pet at same time,12,10,,doggo
444,802265048156610565,2016-11-25,"Like doggo, like pupper version 2. Both 11/10",11,10,,doggo
450,801115127852503040,2016-11-22,This is Bones. He's being haunted by another doggo of roughly the same size. 12/10 deep breaths pupper everything's fine,12,10,Bones,doggo
456,800018252395122689,2016-11-19,Here's a doggo doin a struggle. 11/10 much determined,11,10,,doggo
457,799757965289017345,2016-11-18,This is Sobe. She's a h*ckin happy doggo. Only one leg tho. Must have good balance. 13/10 would smile back,13,10,Sobe,doggo
469,796484825502875648,2016-11-09,Here's a sleepy doggo that requested some assistance. 12/10 would carry everywhere,12,10,,doggo
476,795464331001561088,2016-11-07,Elder doggo does a splash. Both 13/10 incredible stuff,13,10,,doggo
535,786363235746385920,2016-10-13,This is Rizzo. He has many talents. A true renaissance doggo. 13/10 entertaining af,13,10,Rizzo,doggo
540,785639753186217984,2016-10-11,This is Pinot. He's a sophisticated doggo. You can tell by the hat. Also pointier than your average pupper. Still 10/10 would pet cautiously,10,10,Pinot,doggo
558,782747134529531904,2016-10-03,This is Deacon. He's the happiest almost dry doggo I've ever seen. 11/10 would smile back,11,10,Deacon,doggo
561,782305867769217024,2016-10-01,This is Sampson. He just graduated. Ready to be a doggo now. Time for the real world. 12/10 have fun with taxes,12,10,Sampson,doggo
564,781655249211752448,2016-09-30,This is Combo. The daily struggles of being a doggo have finally caught up with him. 11/10,11,10,Combo,doggo
566,781308096455073793,2016-09-29,"Pupper butt 1, Doggo 0. Both 12/10",12,10,,doggo
576,780074436359819264,2016-09-25,Here's a doggo questioning his entire existence. 10/10 someone tell him he's a good boy ,10,10,,doggo
602,775733305207554048,2016-09-13,This is Anakin. He strives to reach his full doggo potential. Born with blurry tail tho. 11/10 would still pet well,11,10,Anakin,doggo
604,775364825476165632,2016-09-12,This is Finley. He's an independent doggo still adjusting to life on his own. 11/10,11,10,Finley,doggo
626,771908950375665664,2016-09-03,Doggo will persevere. 13/10,13,10,,doggo
647,768193404517830656,2016-08-23,Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10,8,10,Gerald,doggo
651,767191397493538821,2016-08-21,I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo,13,10,,doggo
682,760893934457552897,2016-08-03,This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10,11,10,Wishes,doggo
686,760521673607086080,2016-08-02,"Doggo want what doggo cannot have. Temptation strong, dog stronger. 12/10 ",12,10,,doggo
693,759793422261743616,2016-07-31,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time",12,10,Maggie,doggo
701,758828659922702336,2016-07-29,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af,13,10,,doggo
714,757393109802180609,2016-07-25,Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him,10,10,,doggo
719,756526248105566208,2016-07-22,All hail sky doggo. 13/10 would jump super high to pet,13,10,,doggo
724,755206590534418437,2016-07-19,This is one of the most inspirational stories I've ever come across. I have no words. 14/10 for both doggo and owner,14,10,,doggo
741,752682090207055872,2016-07-12,Nothing better than a doggo and a sunset. 10/10 majestic af,10,10,,doggo
742,752660715232722944,2016-07-12,"Hooman used Pokeball
*wiggle*
*wiggle*
Doggo broke free 
10/10",10,10,,doggo
745,752334515931054080,2016-07-11,Here's a doggo trying to catch some fish. 8/10 futile af (vid by @KellyBauerx),8,10,,doggo
752,751583847268179968,2016-07-09,Please stop sending it pictures that don't even have a doggo or pupper in them. Churlish af. 5/10 neat couch tho,5,10,,doggo
772,750011400160841729,2016-07-04,Meet Piper. She's an airport doggo. Please return your tray table to its full pupright and locked position. 11/10,11,10,Piper,doggo
780,749075273010798592,2016-07-02,This is Boomer. He's self-baptizing. Other doggo not ready to renounce sins. 11/10 spiritually awakened af,11,10,Boomer,doggo
784,748932637671223296,2016-07-01,Say hello to Divine Doggo. Must be magical af. 13/10 would be an honor to pet,13,10,Divine,doggo
787,748692773788876800,2016-07-01,That is Quizno. This is his beach. He does not tolerate human shenanigans on his beach. 10/10 reclaim ur land doggo,10,10,,doggo
822,745433870967832576,2016-06-22,This is Lenox. She's in a wheelbarrow. Silly doggo. You don't belong there. 10/10 would push around,10,10,Lenox,doggo
831,744234799360020481,2016-06-18,Here's a doggo realizing you can stand in a pool. 13/10 enlightened af (vid by Tina Conrad),13,10,,doggo
842,742534281772302336,2016-06-14,"For anyone who's wondering, this is what happens after a doggo catches it's tail... 11/10",11,10,,doggo
854,741067306818797568,2016-06-10,This is just downright precious af. 12/10 for both pupper and doggo,12,10,,doggo
866,739623569819336705,2016-06-06,Here's a doggo that don't need no human. 12/10 independent af (vid by @MichelleLiuCee),12,10,,doggo
870,739238157791694849,2016-06-04,Here's a doggo blowing bubbles. It's downright legendary. 13/10 would watch on repeat forever (vid by Kent Duryee),13,10,,doggo
893,735256018284875776,2016-05-24,This is Kellogg. He accidentally opened the front facing camera. 8/10 get it together doggo,8,10,Kellogg,doggo
903,733109485275860992,2016-05-19,"Like father (doggo), like son (pupper). Both 12/10",12,10,,doggo
907,732375214819057664,2016-05-17,This is Kyle (pronounced 'Mitch'). He strives to be the best doggo he can be. 11/10 would pat on head approvingly,11,10,Kyle,doggo
931,727644517743104000,2016-05-03,Here's a doggo struggling to cope with the winds. 13/10,13,10,,doggo
946,724771698126512129,2016-04-26,Nothin better than a doggo and a sunset. 11/10,11,10,,doggo
966,719991154352222208,2016-04-12,This doggo was initially thrilled when she saw the happy cartoon pup but quickly realized she'd been deceived. 10/10,10,10,,doggo
994,716080869887381504,2016-04-02,Here's a super majestic doggo and a sunset 11/10,11,10,,doggo
2120,892420643555336193,2017-08-01,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,Not Specified
2121,892177421306343426,2017-08-01,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,Not Specified
2122,891815181378084864,2017-07-31,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,Not Specified
2123,891689557279858688,2017-07-30,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,Not Specified
2124,891327558926688256,2017-07-29,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,Not Specified
2125,891087950875897856,2017-07-29,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,,Not Specified
2126,890971913173991426,2017-07-28,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H",13,10,Jax,Not Specified
2127,890729181411237888,2017-07-28,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,,Not Specified
2128,890609185150312448,2017-07-27,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,Not Specified
2129,890240255349198849,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,Not Specified
2130,890006608113172480,2017-07-26,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,Not Specified
2131,889880896479866881,2017-07-25,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,Not Specified
2132,889665388333682689,2017-07-25,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,,Not Specified
2133,889638837579907072,2017-07-25,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,Not Specified
2134,889531135344209921,2017-07-24,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13,10,Stuart,Not Specified
2135,889278841981685760,2017-07-24,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13,10,Oliver,Not Specified
2136,888917238123831296,2017-07-23,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12,10,Jim,Not Specified
2137,888804989199671297,2017-07-22,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,13,10,Zeke,Not Specified
2138,888554962724278272,2017-07-22,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,13,10,Ralphus,Not Specified
2139,888078434458587136,2017-07-20,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,12,10,Gerald,Not Specified
2140,887705289381826560,2017-07-19,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,13,10,Jeffrey,Not Specified
2141,887517139158093824,2017-07-19,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy),14,10,,Not Specified
2142,887473957103951883,2017-07-19,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,13,10,Canela,Not Specified
2143,887343217045368832,2017-07-18,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo),13,10,,Not Specified
2144,887101392804085760,2017-07-18,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof,12,10,,Not Specified
2145,886983233522544640,2017-07-17,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in,13,10,Maya,Not Specified
2146,886736880519319552,2017-07-16,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",13,10,Mingus,Not Specified
2147,886680336477933568,2017-07-16,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal,13,10,Derek,Not Specified
2148,886366144734445568,2017-07-15,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,12,10,Roscoe,Not Specified
2149,886258384151887873,2017-07-15,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles,13,10,Waffles,Not Specified
2150,885984800019947520,2017-07-14,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution,12,10,Jimbo,Not Specified
2151,885528943205470208,2017-07-13,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly,13,10,Maisey,Not Specified
2152,885518971528720385,2017-07-13,I have a new hero and his name is Howard. 14/10,14,10,,Not Specified
2153,885167619883638784,2017-07-12,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10,13,10,,Not Specified
2154,884925521741709313,2017-07-12,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl",12,10,Earl,Not Specified
2155,884876753390489601,2017-07-11,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola,13,10,Lola,Not Specified
2156,884562892145688576,2017-07-11,This is Kevin. He's just so happy. 13/10 what is your secret Kevin,13,10,Kevin,Not Specified
2157,884441805382717440,2017-07-10,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales)",14,10,,Not Specified
2158,884247878851493888,2017-07-10,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE,13,10,,Not Specified
2159,884162670584377345,2017-07-09,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo,12,10,Yogi,Not Specified
2160,883838122936631299,2017-07-09,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy,12,10,Noah,Not Specified
2161,883482846933004288,2017-07-08,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10",5,10,Bella,Not Specified
2162,883360690899218434,2017-07-07,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck,13,10,Grizzwald,floofer
2163,883117836046086144,2017-07-07,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat",13,10,,Not Specified
2164,882992080364220416,2017-07-06,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy,13,10,Rusty,Not Specified
2165,882762694511734784,2017-07-06,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,12,10,Gus,Not Specified
2166,882627270321602560,2017-07-05,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi),13,10,Stanley,Not Specified
2167,882268110199369728,2017-07-04,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸,13,10,Alfy,Not Specified
2168,882045870035918850,2017-07-04,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko",13,10,Koko,Not Specified
2169,881906580714921986,2017-07-03,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable,12,10,Rey,Not Specified
2170,881666595344535552,2017-07-03,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely,13,10,Gary,Not Specified
2171,881536004380872706,2017-07-02,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow)",14,10,,Not Specified
2172,881268444196462592,2017-07-01,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet,12,10,Elliot,Not Specified
2173,880935762899988482,2017-06-30,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking,13,10,Louis,Not Specified
2174,880872448815771648,2017-06-30,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10,12,10,,Not Specified
2175,880465832366813184,2017-06-29,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop,12,10,Bella,Not Specified
2176,880221127280381952,2017-06-29,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well,12,10,Jesse,Not Specified
2177,880095782870896641,2017-06-28,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10,11,10,,Not Specified
2178,879862464715927552,2017-06-28,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10,13,10,Romeo,Not Specified
2179,879492040517615616,2017-06-27,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10,12,10,Bailey,Not Specified
2180,879415818425184262,2017-06-26,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici),13,10,Duddles,Not Specified
2181,879376492567855104,2017-06-26,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by,12,10,Jack,Not Specified
2182,879050749262655488,2017-06-25,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet,11,10,Steven,Not Specified
2183,879008229531029506,2017-06-25,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs,13,10,Beau,Not Specified
2184,878776093423087618,2017-06-25,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth,13,10,Snoopy,Not Specified
2185,878604707211726852,2017-06-24,Martha is stunning how h*ckin dare you. 13/10,13,10,,Not Specified
2186,878281511006478336,2017-06-23,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY",13,10,Shadow,Not Specified
2187,878057613040115712,2017-06-23,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved,14,10,Emmy,Not Specified
2188,877736472329191424,2017-06-22,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again,13,10,Aja,Not Specified
2189,877556246731214848,2017-06-21,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options,12,10,Penny,Not Specified
2190,877316821321428993,2017-06-21,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy",13,10,Dante,Not Specified
2191,877201837425926144,2017-06-20,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop,12,10,Nelly,Not Specified
2192,876838120628539392,2017-06-19,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately,12,10,Ginger,Not Specified
2193,876537666061221889,2017-06-18,I can say with the pupmost confidence that the doggos who assisted with this search are heroic as h*ck. 14/10 for all,14,10,,Not Specified
2194,876484053909872640,2017-06-18,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy,13,10,Benedict,Not Specified
2195,876120275196170240,2017-06-17,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite",13,10,Venti,Not Specified
2196,875747767867523072,2017-06-16,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl",13,10,Goose,Not Specified
2197,875144289856114688,2017-06-15,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene,13,10,Nugget,Not Specified
2198,875097192612077568,2017-06-14,You'll get your package when that precious man is done appreciating the pups. 13/10 for everyone,13,10,,Not Specified
2199,875021211251597312,2017-06-14,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck,12,10,,Not Specified
2200,874680097055178752,2017-06-13,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly,12,10,Cash,Not Specified
2201,874296783580663808,2017-06-12,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract,13,10,Jed,Not Specified
2202,874057562936811520,2017-06-12,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10",12,10,,Not Specified
2203,874012996292530176,2017-06-11,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo",13,10,Sebastian,Not Specified
2204,873580283840344065,2017-06-10,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly",13,10,,Not Specified
2205,873213775632977920,2017-06-09,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD",12,10,Sierra,Not Specified
2206,872967104147763200,2017-06-09,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo,12,10,,Not Specified
2207,872820683541237760,2017-06-08,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10",13,10,,Not Specified
2208,872620804844003328,2017-06-08,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love...,13,10,Monkey,Not Specified
2209,872486979161796608,2017-06-07,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10,12,10,,Not Specified
2210,872261713294495745,2017-06-07,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck,13,10,Harry,Not Specified
2211,872122724285648897,2017-06-06,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on,12,10,Kody,Not Specified
2212,871879754684805121,2017-06-06,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10,13,10,Lassie,Not Specified
2213,871762521631449091,2017-06-05,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10,12,10,Rover,Not Specified
2214,871515927908634625,2017-06-04,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo,12,10,Napolean,Not Specified
2215,871102520638267392,2017-06-03,Never doubt a doggo 14/10,14,10,,Not Specified
2216,871032628920680449,2017-06-03,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking",13,10,Boomer,Not Specified
2217,870804317367881728,2017-06-03,Real funny guys. Sending in a pic without a dog in it. Hilarious. We'll rate the rug tho because it's giving off a very good vibe. 11/10,11,10,,Not Specified
2218,870656317836468226,2017-06-02,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV",13,10,Cody,Not Specified
2219,870374049280663552,2017-06-01,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10,13,10,Zoey,Not Specified
2220,870308999962521604,2017-06-01,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking",13,10,Rumble,Not Specified
2221,870063196459192321,2017-05-31,Meet Clifford. He's quite large. Also red. Good w kids. Somehow never steps on them. Massive poops very inconvenient. Still 14/10 would ride,14,10,Clifford,Not Specified
2222,869772420881756160,2017-05-31,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly",13,10,Dewey,Not Specified
